Queries, Number of Overlapping Results, Percent Overlap, Spearman Coefficient
Query 1, 3,  30.0,  -7.2
Query 2, 2,  20.0,   1.0
Query 3, 3,  30.0, -28.0
Query 4, 3,  30.0,  -5.8
Query 5, 1,  10.0,   1.0
Query 6, 2,  20.0, -64.0
Query 7, 3,  30.0, -20.2
Query 8, 0,   0.0,   0.0
Query 9, 4,  40.0,  -5.2
Query 10, 0,   0.0,   0.0
Query 11, 2,  20.0, -12.0
Query 12, 1,  10.0,   0.0
Query 13, 0,   0.0,   0.0
Query 14, 0,   0.0,   0.0
Query 15, 1,  10.0,   0.0
Query 16, 6,  60.0,  -0.8
Query 17, 3,  30.0,  -0.5
Query 18, 1,  10.0,   0.0
Query 19, 1,  10.0,   1.0
Query 20, 0,   0.0,   0.0
Query 21, 2,  20.0, -28.0
Query 22, 2,  20.0,  -4.0
Query 23, 1,  10.0,   0.0
Query 24, 2,  20.0,  -1.0
Query 25, 1,  10.0,   0.0
Query 26, 0,   0.0,   0.0
Query 27, 2,  20.0,  -1.0
Query 28, 4,  40.0, -12.0
Query 29, 2,  20.0, -25.0
Query 30, 2,  20.0, -12.0
Query 31, 3,  30.0, -10.0
Query 32, 2,  20.0,  -9.0
Query 33, 1,  10.0,   0.0
Query 34, 2,  20.0,  -1.0
Query 35, 0,   0.0,   0.0
Query 36, 3,  30.0,  -3.0
Query 37, 0,   0.0,   0.0
Query 38, 1,  10.0,   0.0
Query 39, 1,  10.0,   1.0
Query 40, 3,  30.0, -10.5
Query 41, 4,  40.0,  -5.2
Query 42, 0,   0.0,   0.0
Query 43, 0,   0.0,   0.0
Query 44, 2,  20.0,   1.0
Query 45, 2,  20.0,  -1.0
Query 46, 2,  20.0,  -4.0
Query 47, 0,   0.0,   0.0
Query 48, 4,  40.0,  -2.0
Query 49, 4,  40.0,  -1.2
Query 50, 2,  20.0,  -1.0
Query 51, 0,   0.0,   0.0
Query 52, 6,  60.0,  -2.0
Query 53, 0,   0.0,   0.0
Query 54, 2,  20.0, -16.0
Query 55, 3,  30.0,  -4.2
Query 56, 0,   0.0,   0.0
Query 57, 2,  20.0, -25.0
Query 58, 3,  30.0,  -0.5
Query 59, 0,   0.0,   0.0
Query 60, 0,   0.0,   0.0
Query 61, 1,  10.0,   0.0
Query 62, 0,   0.0,   0.0
Query 63, 2,  20.0,  -1.0
Query 64, 1,  10.0,   1.0
Query 65, 0,   0.0,   0.0
Query 66, 0,   0.0,   0.0
Query 67, 2,  20.0, -24.0
Query 68, 1,  10.0,   0.0
Query 69, 1,  10.0,   0.0
Query 70, 3,  30.0,  -6.2
Query 71, 3,  30.0,  -1.8
Query 72, 0,   0.0,   0.0
Query 73, 0,   0.0,   0.0
Query 74, 3,  30.0,  -7.2
Query 75, 3,  30.0, -11.2
Query 76, 0,   0.0,   0.0
Query 77, 2,  20.0,  -8.0
Query 78, 0,   0.0,   0.0
Query 79, 2,  20.0, -49.0
Query 80, 4,  40.0,  -5.8
Query 81, 0,   0.0,   0.0
Query 82, 1,  10.0,   0.0
Query 83, 2,  20.0, -28.0
Query 84, 1,  10.0,   0.0
Query 85, 1,  10.0,   1.0
Query 86, 0,   0.0,   0.0
Query 87, 0,   0.0,   0.0
Query 88, 1,  10.0,   0.0
Query 89, 4,  40.0,   0.1
Query 90, 4,  40.0,  -0.5
Query 91, 2,  20.0, -12.0
Query 92, 0,   0.0,   0.0
Query 93, 1,  10.0,   0.0
Query 94, 4,  40.0,  -0.2
Query 95, 4,  40.0,   0.0
Query 96, 4,  40.0,  -4.9
Query 97, 1,  10.0,   0.0
Query 98, 2,  20.0, -28.0
Query 99, 2,  20.0,   0.0
Query 100, 0,   0.0,   0.0
Averages, 1.7, 17.0, -5.0
